node_id,workspace,layer,node_kind,label,source_file,source_id,evidence_status,semantics_status,notes
IN-TASK-SELECT-GROUP,WS-INPUTS,optimized,task,Выбрать группу входных данных,manual_operational_model,IN-TASK-SELECT-GROUP,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-EDIT-GEOMETRY,WS-INPUTS,optimized,task,"Отредактировать геометрию, раму и массы",manual_operational_model,IN-TASK-EDIT-GEOMETRY,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-SELECT-SPRING-CONFIG,WS-INPUTS,optimized,task,Выбрать конфигурацию пружин по углу,manual_operational_model,IN-TASK-SELECT-SPRING-CONFIG,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-ENABLE-LEVELING,WS-INPUTS,optimized,task,Включить или отключить выравнивание пружинами,manual_operational_model,IN-TASK-ENABLE-LEVELING,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-EDIT-SYMMETRY,WS-INPUTS,optimized,task,Установить или снять зеркальную симметрию лево/право,manual_operational_model,IN-TASK-EDIT-SYMMETRY,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-EDIT-CYL-POINTS,WS-INPUTS,optimized,task,Отредактировать точки крепления и ограничения цилиндров,manual_operational_model,IN-TASK-EDIT-CYL-POINTS,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-OPEN-TWIN,WS-INPUTS,optimized,task,Открыть графический двойник и схему,manual_operational_model,IN-TASK-OPEN-TWIN,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-VALIDATE,WS-INPUTS,optimized,task,Проверить входные данные,manual_operational_model,IN-TASK-VALIDATE,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-SAVE,WS-INPUTS,optimized,task,Сохранить validated snapshot,manual_operational_model,IN-TASK-SAVE,designed_target,pending,Operational node for internal action→feedback graph.
IN-TASK-HANDOFF,WS-INPUTS,optimized,task,Передать validated snapshot дальше по pipeline,manual_operational_model,IN-TASK-HANDOFF,designed_target,pending,Operational node for internal action→feedback graph.
IN-CHECK-REQ,WS-INPUTS,optimized,check,Проверка обязательных полей и единиц измерения,manual_operational_model,IN-CHECK-REQ,designed_target,pending,Operational node for internal action→feedback graph.
IN-CHECK-GEOM,WS-INPUTS,optimized,check,Проверка геометрической согласованности,manual_operational_model,IN-CHECK-GEOM,designed_target,pending,Operational node for internal action→feedback graph.
IN-CHECK-SPRING-VIS,WS-INPUTS,optimized,check,Проверка видимости выбора C1/C2 на угол,manual_operational_model,IN-CHECK-SPRING-VIS,designed_target,pending,Operational node for internal action→feedback graph.
IN-CHECK-LEVELING-VIS,WS-INPUTS,optimized,check,Проверка видимости режима выравнивания и остатка,manual_operational_model,IN-CHECK-LEVELING-VIS,designed_target,pending,Operational node for internal action→feedback graph.
IN-CHECK-SYMMETRY-VIS,WS-INPUTS,optimized,check,Проверка видимости режима зеркальной симметрии,manual_operational_model,IN-CHECK-SYMMETRY-VIS,designed_target,pending,Operational node for internal action→feedback graph.
IN-CHECK-TWIN-SYNC,WS-INPUTS,optimized,check,Проверка двусторонней синхронизации с графическим двойником,manual_operational_model,IN-CHECK-TWIN-SYNC,designed_target,pending,Operational node for internal action→feedback graph.
IN-BLOCK-REQ,WS-INPUTS,optimized,block,Не все обязательные входы заполнены,manual_operational_model,IN-BLOCK-REQ,designed_target,pending,Operational node for internal action→feedback graph.
IN-BLOCK-GEOM,WS-INPUTS,optimized,block,Геометрия противоречива или нарушает ограничения,manual_operational_model,IN-BLOCK-GEOM,designed_target,pending,Operational node for internal action→feedback graph.
IN-BLOCK-TWIN,WS-INPUTS,optimized,block,Графический двойник не может быть построен честно,manual_operational_model,IN-BLOCK-TWIN,designed_target,pending,Operational node for internal action→feedback graph.
IN-BLOCK-HANDOFF,WS-INPUTS,optimized,block,Нельзя передать дальше: snapshot не сохранён или не валиден,manual_operational_model,IN-BLOCK-HANDOFF,designed_target,pending,Operational node for internal action→feedback graph.
IN-FEEDBACK-C1C2,WS-INPUTS,optimized,feedback,На угол установлены две пружины: контур C1 и контур C2,manual_operational_model,IN-FEEDBACK-C1C2,designed_target,pending,Operational node for internal action→feedback graph.
IN-FEEDBACK-LEVELING,WS-INPUTS,optimized,feedback,"Выравнивание кузова пружинами активно; показан метод и остаточная разница, миллиметры",manual_operational_model,IN-FEEDBACK-LEVELING,designed_target,pending,Operational node for internal action→feedback graph.
IN-FEEDBACK-SYMMETRY,WS-INPUTS,optimized,feedback,Зеркальная симметрия лево/право включена и заблокирована,manual_operational_model,IN-FEEDBACK-SYMMETRY,designed_target,pending,Operational node for internal action→feedback graph.
IN-FEEDBACK-TWIN,WS-INPUTS,optimized,feedback,Графический двойник обновлён по введённым данным,manual_operational_model,IN-FEEDBACK-TWIN,designed_target,pending,Operational node for internal action→feedback graph.
IN-FEEDBACK-VALID,WS-INPUTS,optimized,feedback,Validation summary виден на текущем экране,manual_operational_model,IN-FEEDBACK-VALID,designed_target,pending,Operational node for internal action→feedback graph.
IN-FEEDBACK-SAVED,WS-INPUTS,optimized,feedback,Validated snapshot сохранён и готов к handoff,manual_operational_model,IN-FEEDBACK-SAVED,designed_target,pending,Operational node for internal action→feedback graph.
IN-LOOP-EDIT-VALIDATE,WS-INPUTS,optimized,loop,Правка → проверка → правка,manual_operational_model,IN-LOOP-EDIT-VALIDATE,designed_target,pending,Operational node for internal action→feedback graph.
IN-LOOP-GRAPH-SYNC,WS-INPUTS,optimized,loop,Выбор в схеме ↔ inspector ↔ поле,manual_operational_model,IN-LOOP-GRAPH-SYNC,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-CREATE,WS-RING,optimized,task,Создать или импортировать сценарий,manual_operational_model,RG-TASK-CREATE,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-EDIT-GLOBAL,WS-RING,optimized,task,Отредактировать глобальные параметры кольца,manual_operational_model,RG-TASK-EDIT-GLOBAL,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-SELECT-SEGMENT,WS-RING,optimized,task,"Выбрать сегмент в списке, на плане или профиле",manual_operational_model,RG-TASK-SELECT-SEGMENT,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-EDIT-SEG0,WS-RING,optimized,task,Редактировать старт и конец сегмента 0,manual_operational_model,RG-TASK-EDIT-SEG0,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-EDIT-SEGMENT,WS-RING,optimized,task,Редактировать конец выбранного сегмента,manual_operational_model,RG-TASK-EDIT-SEGMENT,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-SET-TURN,WS-RING,optimized,task,Задать явный тип поворота сегмента,manual_operational_model,RG-TASK-SET-TURN,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-SET-LONG,WS-RING,optimized,task,Задать продольный профиль по конечной высоте,manual_operational_model,RG-TASK-SET-LONG,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-SET-CROSSFALL,WS-RING,optimized,task,Задать поперечный уклон одним параметром,manual_operational_model,RG-TASK-SET-CROSSFALL,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-CHECK-SEAM,WS-RING,optimized,task,Проверить шов и автозамыкание,manual_operational_model,RG-TASK-CHECK-SEAM,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-GENERATE-PREVIEW,WS-RING,optimized,task,Сгенерировать предварительный просмотр,manual_operational_model,RG-TASK-GENERATE-PREVIEW,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-EXPORT,WS-RING,optimized,task,Экспортировать сценарий,manual_operational_model,RG-TASK-EXPORT,designed_target,pending,Operational node for internal action→feedback graph.
RG-TASK-HANDOFF-SUITE,WS-RING,optimized,task,Передать сценарий в набор испытаний,manual_operational_model,RG-TASK-HANDOFF-SUITE,designed_target,pending,Operational node for internal action→feedback graph.
RG-CHECK-EMPTY,WS-RING,optimized,check,"Проверка, что сценарий создан и сегменты существуют",manual_operational_model,RG-CHECK-EMPTY,designed_target,pending,Operational node for internal action→feedback graph.
RG-CHECK-TURN,WS-RING,optimized,check,"Проверка, что поворот задан явно, а не выведен по телеметрии",manual_operational_model,RG-CHECK-TURN,designed_target,pending,Operational node for internal action→feedback graph.
RG-CHECK-LONG,WS-RING,optimized,check,Проверка продольного профиля по началу и концам сегментов,manual_operational_model,RG-CHECK-LONG,designed_target,pending,Operational node for internal action→feedback graph.
RG-CHECK-CROSSFALL,WS-RING,optimized,check,Проверка единственного параметра поперечного уклона,manual_operational_model,RG-CHECK-CROSSFALL,designed_target,pending,Operational node for internal action→feedback graph.
RG-CHECK-SEAM,WS-RING,optimized,check,Проверка шва последний → первый,manual_operational_model,RG-CHECK-SEAM,designed_target,pending,Operational node for internal action→feedback graph.
RG-CHECK-EXPORT,WS-RING,optimized,check,Проверка актуальности export artifacts,manual_operational_model,RG-CHECK-EXPORT,designed_target,pending,Operational node for internal action→feedback graph.
RG-BLOCK-EMPTY,WS-RING,optimized,block,Сценарий пуст: нет сегментов для генерации и экспорта,manual_operational_model,RG-BLOCK-EMPTY,designed_target,pending,Operational node for internal action→feedback graph.
RG-BLOCK-FIELDS,WS-RING,optimized,block,Не заполнены обязательные поля сегмента,manual_operational_model,RG-BLOCK-FIELDS,designed_target,pending,Operational node for internal action→feedback graph.
RG-BLOCK-SEAM,WS-RING,optimized,block,Шов кольца не согласован,manual_operational_model,RG-BLOCK-SEAM,designed_target,pending,Operational node for internal action→feedback graph.
RG-BLOCK-EXPORT-STALE,WS-RING,optimized,block,Экспорт устарел после правки сценария,manual_operational_model,RG-BLOCK-EXPORT-STALE,designed_target,pending,Operational node for internal action→feedback graph.
RG-FEEDBACK-SELECTION-SYNC,WS-RING,optimized,feedback,"Выбор сегмента синхронно виден в списке, плане, профиле и inspector",manual_operational_model,RG-FEEDBACK-SELECTION-SYNC,designed_target,pending,Operational node for internal action→feedback graph.
RG-FEEDBACK-PLAN-PROFILE,WS-RING,optimized,feedback,"План кольца, продольный профиль и поперечный уклон обновлены синхронно",manual_operational_model,RG-FEEDBACK-PLAN-PROFILE,designed_target,pending,Operational node for internal action→feedback graph.
RG-FEEDBACK-TURN,WS-RING,optimized,feedback,Явный тип поворота сегмента виден текстом и графически,manual_operational_model,RG-FEEDBACK-TURN,designed_target,pending,Operational node for internal action→feedback graph.
RG-FEEDBACK-SEAM,WS-RING,optimized,feedback,Статус шва кольца виден на текущем экране,manual_operational_model,RG-FEEDBACK-SEAM,designed_target,pending,Operational node for internal action→feedback graph.
RG-FEEDBACK-AUTOCLOSE,WS-RING,optimized,feedback,Последний сегмент автозамыкается на сегмент 0 и помечен как locked,manual_operational_model,RG-FEEDBACK-AUTOCLOSE,designed_target,pending,Operational node for internal action→feedback graph.
RG-FEEDBACK-EXPORT,WS-RING,optimized,feedback,Экспорт сценария и связанные артефакты готовы и видимы,manual_operational_model,RG-FEEDBACK-EXPORT,designed_target,pending,Operational node for internal action→feedback graph.
RG-LOOP-EDIT-SYNC,WS-RING,optimized,loop,Правка сегмента ↔ синхронный preview,manual_operational_model,RG-LOOP-EDIT-SYNC,designed_target,pending,Operational node for internal action→feedback graph.
RG-LOOP-SEAM-FIX,WS-RING,optimized,loop,Исправить шов → повторная проверка,manual_operational_model,RG-LOOP-SEAM-FIX,designed_target,pending,Operational node for internal action→feedback graph.
RG-LOOP-EXPORT-REVALIDATE,WS-RING,optimized,loop,После правки экспорт помечается stale и требует пересборки,manual_operational_model,RG-LOOP-EXPORT-REVALIDATE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-REVIEW-BASELINE,WS-OPTIMIZATION,optimized,task,Проверить active baseline и его происхождение,manual_operational_model,OPT-TASK-REVIEW-BASELINE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-REVIEW-CONTRACT,WS-OPTIMIZATION,optimized,task,Проверить stack целей и жёсткое ограничение,manual_operational_model,OPT-TASK-REVIEW-CONTRACT,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-SELECT-MODE,WS-OPTIMIZATION,optimized,task,Выбрать один активный режим запуска,manual_operational_model,OPT-TASK-SELECT-MODE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-CONFIG-STAGE,WS-OPTIMIZATION,optimized,task,Настроить StageRunner,manual_operational_model,OPT-TASK-CONFIG-STAGE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-CONFIG-DIST,WS-OPTIMIZATION,optimized,task,Настроить distributed coordinator,manual_operational_model,OPT-TASK-CONFIG-DIST,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-LAUNCH,WS-OPTIMIZATION,optimized,task,Запустить активный режим,manual_operational_model,OPT-TASK-LAUNCH,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-MONITOR,WS-OPTIMIZATION,optimized,task,"Следить за текущей стадией, количеством строк и бюджетом",manual_operational_model,OPT-TASK-MONITOR,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-READ-UNDERFILL,WS-OPTIMIZATION,optimized,task,Понять причину underfill и gate decisions,manual_operational_model,OPT-TASK-READ-UNDERFILL,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-READ-PROMOTION,WS-OPTIMIZATION,optimized,task,Понять причину promotion или блокировки кандидата,manual_operational_model,OPT-TASK-READ-PROMOTION,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-HISTORY,WS-OPTIMIZATION,optimized,task,Сравнить исторические прогоны по контракту,manual_operational_model,OPT-TASK-HISTORY,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-OPEN-RESULTS,WS-OPTIMIZATION,optimized,task,Открыть анализ и аниматор от выбранного прогона,manual_operational_model,OPT-TASK-OPEN-RESULTS,designed_target,pending,Operational node for internal action→feedback graph.
OPT-TASK-STOP-RESUME,WS-OPTIMIZATION,optimized,task,"Остановить, продолжить или возобновить прогон",manual_operational_model,OPT-TASK-STOP-RESUME,designed_target,pending,Operational node for internal action→feedback graph.
OPT-CHECK-BASELINE,WS-OPTIMIZATION,optimized,check,"Проверка, что baseline готов и не устарел",manual_operational_model,OPT-CHECK-BASELINE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-CHECK-SUITE,WS-OPTIMIZATION,optimized,check,"Проверка, что validated suite snapshot готов",manual_operational_model,OPT-CHECK-SUITE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-CHECK-CONTRACT,WS-OPTIMIZATION,optimized,check,Проверка полноты objective contract и hard gate,manual_operational_model,OPT-CHECK-CONTRACT,designed_target,pending,Operational node for internal action→feedback graph.
OPT-CHECK-MODE,WS-OPTIMIZATION,optimized,check,Проверка единственного активного режима,manual_operational_model,OPT-CHECK-MODE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-CHECK-RUN-ID,WS-OPTIMIZATION,optimized,check,Проверка identity problem hash / objective contract,manual_operational_model,OPT-CHECK-RUN-ID,designed_target,pending,Operational node for internal action→feedback graph.
OPT-CHECK-HISTORY,WS-OPTIMIZATION,optimized,check,Проверка совместимости historical run с текущим контрактом,manual_operational_model,OPT-CHECK-HISTORY,designed_target,pending,Operational node for internal action→feedback graph.
OPT-BLOCK-BASELINE,WS-OPTIMIZATION,optimized,block,Нет active baseline или он невалиден,manual_operational_model,OPT-BLOCK-BASELINE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-BLOCK-SUITE,WS-OPTIMIZATION,optimized,block,Набор испытаний устарел или невалиден,manual_operational_model,OPT-BLOCK-SUITE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-BLOCK-CONTRACT,WS-OPTIMIZATION,optimized,block,Контракт цели/ограничения не подтверждён,manual_operational_model,OPT-BLOCK-CONTRACT,designed_target,pending,Operational node for internal action→feedback graph.
OPT-BLOCK-UNDERFILL,WS-OPTIMIZATION,optimized,block,Стадия недобрала seed budget,manual_operational_model,OPT-BLOCK-UNDERFILL,designed_target,pending,Operational node for internal action→feedback graph.
OPT-BLOCK-HISTORY,WS-OPTIMIZATION,optimized,block,Исторический прогон собран по другому контракту,manual_operational_model,OPT-BLOCK-HISTORY,designed_target,pending,Operational node for internal action→feedback graph.
OPT-FEEDBACK-MODE,WS-OPTIMIZATION,optimized,feedback,Активный режим виден крупно и однозначно,manual_operational_model,OPT-FEEDBACK-MODE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-FEEDBACK-CONTRACT,WS-OPTIMIZATION,optimized,feedback,Стек целей и жёсткое ограничение видны на одном уровне,manual_operational_model,OPT-FEEDBACK-CONTRACT,designed_target,pending,Operational node for internal action→feedback graph.
OPT-FEEDBACK-STAGE,WS-OPTIMIZATION,optimized,feedback,"Текущая стадия, live rows и elapsed budget видны на текущем экране",manual_operational_model,OPT-FEEDBACK-STAGE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-FEEDBACK-UNDERFILL,WS-OPTIMIZATION,optimized,feedback,"Underfill, gate reasons и selected counts видны на текущем экране",manual_operational_model,OPT-FEEDBACK-UNDERFILL,designed_target,pending,Operational node for internal action→feedback graph.
OPT-FEEDBACK-PROMOTION,WS-OPTIMIZATION,optimized,feedback,Причины promotion и blocked promotion видны на текущем экране,manual_operational_model,OPT-FEEDBACK-PROMOTION,designed_target,pending,Operational node for internal action→feedback graph.
OPT-FEEDBACK-HISTORY,WS-OPTIMIZATION,optimized,feedback,History показывает objective contract и hard gate каждого run,manual_operational_model,OPT-FEEDBACK-HISTORY,designed_target,pending,Operational node for internal action→feedback graph.
OPT-LOOP-CONTRACT-TUNE,WS-OPTIMIZATION,optimized,loop,Правка контракта → повторная готовность,manual_operational_model,OPT-LOOP-CONTRACT-TUNE,designed_target,pending,Operational node for internal action→feedback graph.
OPT-LOOP-RUN-MONITOR,WS-OPTIMIZATION,optimized,loop,Запуск → мониторинг → stop/resume,manual_operational_model,OPT-LOOP-RUN-MONITOR,designed_target,pending,Operational node for internal action→feedback graph.
OPT-LOOP-HISTORY-COMPARE,WS-OPTIMIZATION,optimized,loop,История → анализ → возврат к запуску,manual_operational_model,OPT-LOOP-HISTORY-COMPARE,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-LOAD-MANIFEST,WS-DIAGNOSTICS,optimized,task,Загрузить и слить evidence manifest,manual_operational_model,DI-TASK-LOAD-MANIFEST,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-SELFCHECK,WS-DIAGNOSTICS,optimized,task,Запустить standard selfcheck,manual_operational_model,DI-TASK-SELFCHECK,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-RUNTIME,WS-DIAGNOSTICS,optimized,task,Проверить helper runtime и effective workspace,manual_operational_model,DI-TASK-RUNTIME,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-CONTENTS,WS-DIAGNOSTICS,optimized,task,Выбрать состав bundle,manual_operational_model,DI-TASK-CONTENTS,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-COLLECT,WS-DIAGNOSTICS,optimized,task,Собрать diagnostics bundle,manual_operational_model,DI-TASK-COLLECT,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-REVIEW-HEALTH,WS-DIAGNOSTICS,optimized,task,Открыть health report и triage,manual_operational_model,DI-TASK-REVIEW-HEALTH,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-OPEN-LAST,WS-DIAGNOSTICS,optimized,task,Открыть последний bundle и путь к нему,manual_operational_model,DI-TASK-OPEN-LAST,designed_target,pending,Operational node for internal action→feedback graph.
DI-TASK-SEND,WS-DIAGNOSTICS,optimized,task,Отправить архив диагностики,manual_operational_model,DI-TASK-SEND,designed_target,pending,Operational node for internal action→feedback graph.
DI-CHECK-CONTEXT,WS-DIAGNOSTICS,optimized,check,"Проверка, что context и evidence manifest загружены",manual_operational_model,DI-CHECK-CONTEXT,designed_target,pending,Operational node for internal action→feedback graph.
DI-CHECK-SELFCHECK,WS-DIAGNOSTICS,optimized,check,"Проверка, что standard selfcheck актуален",manual_operational_model,DI-CHECK-SELFCHECK,designed_target,pending,Operational node for internal action→feedback graph.
DI-CHECK-RUNTIME,WS-DIAGNOSTICS,optimized,check,Проверка helper python и workspace contract,manual_operational_model,DI-CHECK-RUNTIME,designed_target,pending,Operational node for internal action→feedback graph.
DI-CHECK-CONTENTS,WS-DIAGNOSTICS,optimized,check,Проверка обязательного состава bundle,manual_operational_model,DI-CHECK-CONTENTS,designed_target,pending,Operational node for internal action→feedback graph.
DI-CHECK-FRESH,WS-DIAGNOSTICS,optimized,check,Проверка свежести последнего bundle,manual_operational_model,DI-CHECK-FRESH,designed_target,pending,Operational node for internal action→feedback graph.
DI-BLOCK-NO-CONTEXT,WS-DIAGNOSTICS,optimized,block,Нет контекста или evidence manifest,manual_operational_model,DI-BLOCK-NO-CONTEXT,designed_target,pending,Operational node for internal action→feedback graph.
DI-BLOCK-SELFCHECK,WS-DIAGNOSTICS,optimized,block,Standard selfcheck не пройден,manual_operational_model,DI-BLOCK-SELFCHECK,designed_target,pending,Operational node for internal action→feedback graph.
DI-BLOCK-RUNTIME,WS-DIAGNOSTICS,optimized,block,Helper runtime не готов или provenance не подтверждён,manual_operational_model,DI-BLOCK-RUNTIME,designed_target,pending,Operational node for internal action→feedback graph.
DI-BLOCK-BUNDLE,WS-DIAGNOSTICS,optimized,block,Нельзя отправить: архив диагностики ещё не собран,manual_operational_model,DI-BLOCK-BUNDLE,designed_target,pending,Operational node for internal action→feedback graph.
DI-FEEDBACK-HEALTH,WS-DIAGNOSTICS,optimized,feedback,Health summary виден на первом экране,manual_operational_model,DI-FEEDBACK-HEALTH,designed_target,pending,Operational node for internal action→feedback graph.
DI-FEEDBACK-RUNTIME,WS-DIAGNOSTICS,optimized,feedback,"Показаны helper python, interpreter provenance и effective workspace",manual_operational_model,DI-FEEDBACK-RUNTIME,designed_target,pending,Operational node for internal action→feedback graph.
DI-FEEDBACK-CONTENTS,WS-DIAGNOSTICS,optimized,feedback,Состав bundle виден до сборки,manual_operational_model,DI-FEEDBACK-CONTENTS,designed_target,pending,Operational node for internal action→feedback graph.
DI-FEEDBACK-LAST,WS-DIAGNOSTICS,optimized,feedback,"Видны путь, свежесть и состав последнего bundle",manual_operational_model,DI-FEEDBACK-LAST,designed_target,pending,Operational node for internal action→feedback graph.
DI-FEEDBACK-TRIAGE,WS-DIAGNOSTICS,optimized,feedback,"Health report, triage и geometry acceptance доступны сразу после сборки",manual_operational_model,DI-FEEDBACK-TRIAGE,designed_target,pending,Operational node for internal action→feedback graph.
DI-FEEDBACK-SEND,WS-DIAGNOSTICS,optimized,feedback,Отправка архива разрешена только после готового bundle,manual_operational_model,DI-FEEDBACK-SEND,designed_target,pending,Operational node for internal action→feedback graph.
DI-LOOP-RUNTIME-FIX,WS-DIAGNOSTICS,optimized,loop,Исправить runtime → повторить selfcheck,manual_operational_model,DI-LOOP-RUNTIME-FIX,designed_target,pending,Operational node for internal action→feedback graph.
DI-LOOP-COLLECT-REVIEW-SEND,WS-DIAGNOSTICS,optimized,loop,Собрать → проверить → отправить,manual_operational_model,DI-LOOP-COLLECT-REVIEW-SEND,designed_target,pending,Operational node for internal action→feedback graph.
