path,size_bytes
ACCEPTANCE_MATRIX.csv,38712
ACTIVE_CANON_SUCCESSOR_MATRIX.csv,418
CANON_ACTIVATION_CHECKLIST.csv,365
CHANGELOG_V38.md,699
CONFLICTS_AND_ASSUMPTIONS.csv,5649
CONNECTOR_USAGE_STATUS.md,413
CROSS_REFERENCE_INDEX.csv,25969
DISCOVERED_BACKLOG_SOURCES.csv,7607
EXEC_SUMMARY.json,619
GITHUB_WRITE_STATUS.md,272
GUI_SPEC.yaml,18597
GUI_SPEC_ARCHIVE_LINEAGE_APPENDIX_V38.md,301
GUI_SPEC_ARCHIVE_LINEAGE_PATCH_PROPOSAL.diff,276
GUI_SPEC_IMPORTS_README_PATCH_PROPOSAL.diff,434
IMPORT_TREE_MAP.csv,3357
LAUNCHER_HIERARCHY_RECONCILIATION_V10.md,1286
PACKAGE_INDEX.csv,7369
PACKAGE_INTEGRITY_POLICY.md,365
PACKAGE_MANIFEST.json,22770
PACKAGE_NON_RUNTIME_CLOSURE_NOTICE.md,330
PACKAGE_SELFCHECK_REPORT.json,715
PARAMETER_CATALOG.csv,300772
PARAMETER_GROUPS.csv,1539
PARAMETER_PIPELINE_MATRIX.csv,713250
PARAMETER_RELATIONS.csv,4396
PARAMETER_VISIBILITY_MATRIX.csv,78296
PIPELINE_CURRENT.dot,1176
PIPELINE_OPTIMIZED.dot,1690
POST_MERGE_VALIDATION.md,647
PREDECESSOR_NOTES_V36.md,329
PROJECT_SOURCES_PATCH_PROPOSAL.diff,1738
README.md,1784
README_PROVENANCE.md,1442
REPO_ADOPTION_PLAN.md,1087
REPO_APPLY_ORDER.md,400
REPO_CANON_ALIGNMENT_MATRIX.csv,362
REPO_CANON_READ_ORDER_AFTER_PATCH.md,494
REPO_COMMIT_SEQUENCE.md,541
REPO_GITHUB_KB_SUPPLEMENT_SUMMARY.md,1462
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/ACCEPTANCE_MATRIX.csv,38712
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/ACTIVE_CANON_SUCCESSOR_MATRIX.csv,418
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/CONFLICTS_AND_ASSUMPTIONS.csv,5649
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/CROSS_REFERENCE_INDEX.csv,25969
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/DISCOVERED_BACKLOG_SOURCES.csv,7607
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/GUI_SPEC.yaml,18597
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/GUI_SPEC_ARCHIVE_LINEAGE_APPENDIX_V38.md,570
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/LAUNCHER_HIERARCHY_RECONCILIATION_V10.md,1286
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/NON_RUNTIME_CLOSURE_NOTICE.md,330
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_CATALOG.csv,300772
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_GROUPS.csv,1539
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_PIPELINE_MATRIX.csv,713250
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_RELATIONS.csv,4396
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PARAMETER_VISIBILITY_MATRIX.csv,78296
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PIPELINE_CURRENT.dot,1176
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PIPELINE_OPTIMIZED.dot,1690
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/PREDECESSOR_NOTES_V36.md,329
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/README.md,1784
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/README_PROVENANCE.md,1442
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REMOTE_REPO_CANON_EVIDENCE_V38.md,1220
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_CANON_ALIGNMENT_MATRIX.csv,362
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_GITHUB_KB_SUPPLEMENT.md,208
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_GITHUB_KB_SUPPLEMENT_SUMMARY.md,1462
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_KB_MAINTAINER_CHECKLIST.md,1078
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REPO_OPEN_GAPS_TO_KEEP_OPEN.csv,380
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/REQUIREMENTS_MATRIX.csv,42553
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/SCREEN_CATALOG.csv,45397
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/STRUCTURE_LINT_REPORT.md,1278
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/TECHNICAL_SPECIFICATION.md,23326
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/TERMINOLOGY_GLOSSARY.csv,10019
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/TEST_CATALOG.csv,21275
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/UI_ELEMENT_CATALOG.csv,444093
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/V10_ACTUALIZATION_REPORT.md,1510
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/V10_RECONCILIATION_MATRIX.csv,1411
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/WINDOW_CATALOG.csv,4608
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/WISHLIST_TODO_RECONCILIATION.csv,4232
REPO_IMPORT_READY/docs/context/gui_spec_imports/v38_github_kb_commit_ready/WORKSPACE_CONTRACT_MATRIX.csv,4147
REPO_KB_MAINTAINER_CHECKLIST.md,1078
REPO_KB_PATCHSET_INDEX.csv,576
REPO_OPEN_GAPS_TO_KEEP_OPEN.csv,380
REPO_PATCHSET_INDEX_V38.csv,576
REPO_PULL_REQUEST_BODY.md,622
REQUIREMENTS_MATRIX.csv,42553
ROLLBACK_PLAN.md,352
SCREEN_CATALOG.csv,45397
SOURCE_CONTEXT/REMOTE_REPO_CANON_EVIDENCE_V37.md,1220
SOURCE_CONTEXT/REPO_CANON_URLS_V37.csv,571
SOURCE_CONTEXT/REPO_CANON_URLS_V38.csv,74
SOURCE_CONTEXT/REPO_CANON_VERIFIED_EXTRACTS_V37.md,1917
SOURCE_CONTEXT/REPO_CANON_VERIFIED_EXTRACTS_V38.md,410
SOURCE_CONTEXT/deep-research-report (5).md,61507
SOURCE_CONTEXT/prompt_for_codex_tz_spec_recipient_neutral_CANONICAL_2026-04-16_CONNECTOR_RECONCILED.md,48876
SOURCE_CONTEXT/v10_launcher_shell_report_only/ACTIONS_TO_MOVE_INSIDE_OTHER_WINDOWS_V10.csv,2244
SOURCE_CONTEXT/v10_launcher_shell_report_only/EXEC_SUMMARY.md,1948
SOURCE_CONTEXT/v10_launcher_shell_report_only/GOOD_BAD_FIX_MATRIX_V10.csv,3497
SOURCE_CONTEXT/v10_launcher_shell_report_only/HOW_TO_FIX_V10.md,1545
SOURCE_CONTEXT/v10_launcher_shell_report_only/ISSUE_REGISTER_V10.csv,1548
SOURCE_CONTEXT/v10_launcher_shell_report_only/LAUNCHER_SHELL_HIERARCHY_V10.md,2315
SOURCE_CONTEXT/v10_launcher_shell_report_only/LIMITS_AND_NOT_OPENED_V10.md,829
SOURCE_CONTEXT/v10_launcher_shell_report_only/TOP_LEVEL_WINDOW_DECISION_MATRIX_V10.csv,6355
SOURCE_CONTEXT/v10_launcher_shell_report_only/USER_FIRST_15_MINUTES_V10.md,1563
SOURCE_CONTEXT/v10_launcher_shell_report_only/WHAT_IS_BAD_V10.md,1085
SOURCE_CONTEXT/v10_launcher_shell_report_only/WHAT_IS_GOOD_V10.md,880
SOURCE_CONTEXT/Прогрев контекста проекта.txt,7557
SOURCE_CONTEXT/Проектный релиз.txt,4293
SOURCE_CONTEXT/Разработка софта для подвески.txt,5787
STRUCTURE_LINT_REPORT.md,1278
TECHNICAL_SPECIFICATION.md,23326
TERMINOLOGY_GLOSSARY.csv,10019
TEST_CATALOG.csv,21275
UI_ELEMENT_CATALOG.csv,444093
V10_ACTUALIZATION_REPORT.md,1510
V10_RECONCILIATION_MATRIX.csv,1411
WINDOW_CATALOG.csv,4608
WISHLIST_TODO_RECONCILIATION.csv,4232
WORKSPACE_CONTRACT_MATRIX.csv,4147
